category	ID	term	count	genes	logFC	adj_pval	zscore
BP	GO:0016104	triterpenoid biosynthetic process	3	HELPU_006292	-1.30404898831941	0.00032	-3.49188425241964
BP	GO:0016104	triterpenoid biosynthetic process	3	HELPU_011034	-1.85491606830998	0.00032	-3.49188425241964
BP	GO:0016104	triterpenoid biosynthetic process	3	HELPU_019900	-2.88915588271109	0.00032	-3.49188425241964
BP	GO:0035444	nickel cation transmembrane transport	2	HELPU_017191	-7.6329416835211	0.00046	-7.45747136467248
BP	GO:0035444	nickel cation transmembrane transport	2	HELPU_019622	-2.91351546140772	0.00046	-7.45747136467248
BP	GO:0055068	cobalt ion homeostasis	2	HELPU_017191	-7.6329416835211	0.00046	-7.45747136467248
BP	GO:0055068	cobalt ion homeostasis	2	HELPU_019622	-2.91351546140772	0.00046	-7.45747136467248
BP	GO:0006824	cobalt ion transport	2	HELPU_017191	-7.6329416835211	0.00046	-7.45747136467248
BP	GO:0006824	cobalt ion transport	2	HELPU_019622	-2.91351546140772	0.00046	-7.45747136467248
BP	GO:0015936	coenzyme A metabolic process	3	HELPU_006292	-1.30404898831941	0.00136	-3.14064528904078
BP	GO:0015936	coenzyme A metabolic process	3	HELPU_006295	-1.24655233813998	0.00136	-3.14064528904078
BP	GO:0015936	coenzyme A metabolic process	3	HELPU_019900	-2.88915588271109	0.00136	-3.14064528904078
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_000263	4.05683860618475	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_000532	-0.921545635646218	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_003157	-1.30665694518093	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_004946	0.756221895364741	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_008223	-3.39559587938782	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_008788	1.36165013829441	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_010917	1.50271483111055	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_011607	-2.32289510161455	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_013165	3.05521026664143	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_014194	-1.12421363776477	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_014989	0.890657306097323	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_014990	0.91952931691596	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_016237	10.5701542033097	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_016394	11.5677375673706	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_017439	1.9901236550255	0.00139	5.87950024512038
BP	GO:0060560	developmental growth involved in morphog...	16	HELPU_019746	-4.08192960623915	0.00139	5.87950024512038
BP	GO:0019287	isopentenyl diphosphate biosynthetic pro...	4	HELPU_005456	-3.58268058497123	0.00186	-5.55980190249137
BP	GO:0019287	isopentenyl diphosphate biosynthetic pro...	4	HELPU_006292	-1.30404898831941	0.00186	-5.55980190249137
BP	GO:0019287	isopentenyl diphosphate biosynthetic pro...	4	HELPU_017527	-3.34371834898101	0.00186	-5.55980190249137
BP	GO:0019287	isopentenyl diphosphate biosynthetic pro...	4	HELPU_019900	-2.88915588271109	0.00186	-5.55980190249137
BP	GO:0015746	citrate transport	2	HELPU_003287	1.2459469631786	0.00441	2.04566267524618
BP	GO:0015746	citrate transport	2	HELPU_006435	1.64705693619498	0.00441	2.04566267524618
BP	GO:0042372	phylloquinone biosynthetic process	3	HELPU_000274	-1.15702915290884	0.00447	6.22159933453955
BP	GO:0042372	phylloquinone biosynthetic process	3	HELPU_008272	7.17459280535687	0.00447	6.22159933453955
BP	GO:0042372	phylloquinone biosynthetic process	3	HELPU_011489	4.75856249931118	0.00447	6.22159933453955
BP	GO:0009789	positive regulation of abscisic acid-act...	8	HELPU_000044	0.771292709327129	0.00483	3.26067927325331
BP	GO:0009789	positive regulation of abscisic acid-act...	8	HELPU_007928	3.14764235645107	0.00483	3.26067927325331
BP	GO:0009789	positive regulation of abscisic acid-act...	8	HELPU_011295	-1.83374564790282	0.00483	3.26067927325331
BP	GO:0009789	positive regulation of abscisic acid-act...	8	HELPU_012207	-1.76674258380547	0.00483	3.26067927325331
BP	GO:0009789	positive regulation of abscisic acid-act...	8	HELPU_016237	10.5701542033097	0.00483	3.26067927325331
BP	GO:0009789	positive regulation of abscisic acid-act...	8	HELPU_016776	-2.15636421322129	0.00483	3.26067927325331
BP	GO:0009789	positive regulation of abscisic acid-act...	8	HELPU_017385	2.38625992940816	0.00483	3.26067927325331
BP	GO:0009789	positive regulation of abscisic acid-act...	8	HELPU_019805	-1.89590305199912	0.00483	3.26067927325331
BP	GO:0009617	response to bacterium	36	HELPU_000044	0.771292709327129	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_000179	-1.73941557749888	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_000274	-1.15702915290884	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_001984	-1.72585806368579	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_002265	-1.43734942824451	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_002449	-3.21109371186925	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_002775	0.621323734948752	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_002935	-3.30557746343864	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_002936	-6.2560082670718	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_003121	-1.48372184034499	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_003851	1.08667142209974	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_004902	-2.28194892026572	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_006903	4.22651702430453	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_007336	-4.14908216453381	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_008272	7.17459280535687	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_008792	-6.24900897387303	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_008882	-2.72057180630606	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_010630	-1.75657872341456	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_010710	0.667437047883907	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_011369	-7.18512482883588	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_012657	0.890651604690863	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_012777	6.32044623728141	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_014321	-2.94779707242007	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_014727	-3.41514108808991	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_014954	-0.798456205700604	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_015152	4.26749978396898	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_017295	6.62934937328271	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_017385	2.38625992940816	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_019085	0.766308535891362	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_019227	-5.05155998376819	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_019352	2.96875153717727	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_019805	-1.89590305199912	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_020588	2.23549906975818	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_021138	11.152709833244	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_021373	-3.04166715866337	0.00528	-1.15466160166645
BP	GO:0009617	response to bacterium	36	HELPU_023837	2.71561322431047	0.00528	-1.15466160166645
BP	GO:0019285	glycine betaine biosynthetic process fro...	2	HELPU_012709	10.8178378932198	0.00652	12.1961381092621
BP	GO:0019285	glycine betaine biosynthetic process fro...	2	HELPU_014793	6.43010602947402	0.00652	12.1961381092621
BP	GO:0010304	PSII associated light-harvesting complex...	3	HELPU_001772	-0.760441974296718	0.00738	0.413662834545741
BP	GO:0010304	PSII associated light-harvesting complex...	3	HELPU_015500	6.81813078115476	0.00738	0.413662834545741
BP	GO:0010304	PSII associated light-harvesting complex...	3	HELPU_015886	-5.34120376022186	0.00738	0.413662834545741
BP	GO:0050832	defense response to fungus	19	HELPU_000606	-3.30730407601743	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_002265	-1.43734942824451	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_002775	0.621323734948752	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_003357	0.729025221173265	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_004902	-2.28194892026572	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_006426	0.652323486192288	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_007336	-4.14908216453381	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_008127	1.69529556872099	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_008272	7.17459280535687	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_009743	3.54448288244032	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_010120	-3.28961282078739	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_010160	4.02055958968128	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_013629	0.944127680731221	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_015152	4.26749978396898	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_017141	-1.30160693896412	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_017295	6.62934937328271	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_017704	-3.40696732162036	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_019227	-5.05155998376819	0.00788	2.91001149308639
BP	GO:0050832	defense response to fungus	19	HELPU_022024	6.63129755061035	0.00788	2.91001149308639
BP	GO:0006879	intracellular iron ion homeostasis	8	HELPU_000179	-1.73941557749888	0.00825	-5.83919426086881
BP	GO:0006879	intracellular iron ion homeostasis	8	HELPU_003287	1.2459469631786	0.00825	-5.83919426086881
BP	GO:0006879	intracellular iron ion homeostasis	8	HELPU_006435	1.64705693619498	0.00825	-5.83919426086881
BP	GO:0006879	intracellular iron ion homeostasis	8	HELPU_007888	-1.48824317801688	0.00825	-5.83919426086881
BP	GO:0006879	intracellular iron ion homeostasis	8	HELPU_010009	1.55050139580325	0.00825	-5.83919426086881
BP	GO:0006879	intracellular iron ion homeostasis	8	HELPU_011369	-7.18512482883588	0.00825	-5.83919426086881
BP	GO:0006879	intracellular iron ion homeostasis	8	HELPU_017191	-7.6329416835211	0.00825	-5.83919426086881
BP	GO:0006879	intracellular iron ion homeostasis	8	HELPU_019622	-2.91351546140772	0.00825	-5.83919426086881
BP	GO:2000185	regulation of phosphate transmembrane tr...	2	HELPU_012708	-1.57008925772886	0.009	4.24138528286394
BP	GO:2000185	regulation of phosphate transmembrane tr...	2	HELPU_019780	7.56831384800469	0.009	4.24138528286394
BP	GO:0070534	protein K63-linked ubiquitination	3	HELPU_012708	-1.57008925772886	0.00981	4.8407843944558
BP	GO:0070534	protein K63-linked ubiquitination	3	HELPU_017385	2.38625992940816	0.00981	4.8407843944558
BP	GO:0070534	protein K63-linked ubiquitination	3	HELPU_019780	7.56831384800469	0.00981	4.8407843944558
BP	GO:0080144	intracellular amino acid homeostasis	3	HELPU_000919	1.14483113659772	0.00981	1.14734447609977
BP	GO:0080144	intracellular amino acid homeostasis	3	HELPU_004227	1.49927736309606	0.00981	1.14734447609977
BP	GO:0080144	intracellular amino acid homeostasis	3	HELPU_013069	-0.656849573305475	0.00981	1.14734447609977
BP	GO:0042908	xenobiotic transport	5	HELPU_000177	1.43825234278001	0.01126	-0.413906434158734
BP	GO:0042908	xenobiotic transport	5	HELPU_003287	1.2459469631786	0.01126	-0.413906434158734
BP	GO:0042908	xenobiotic transport	5	HELPU_006435	1.64705693619498	0.01126	-0.413906434158734
BP	GO:0042908	xenobiotic transport	5	HELPU_014211	-2.88984721953846	0.01126	-0.413906434158734
BP	GO:0042908	xenobiotic transport	5	HELPU_018340	-2.3669319457186	0.01126	-0.413906434158734
BP	GO:0008285	negative regulation of cell population p...	5	HELPU_002944	-3.78085765847714	0.0113	-9.1143570530433
BP	GO:0008285	negative regulation of cell population p...	5	HELPU_009589	-7.54661022419469	0.0113	-9.1143570530433
BP	GO:0008285	negative regulation of cell population p...	5	HELPU_017350	-5.09151141393355	0.0113	-9.1143570530433
BP	GO:0008285	negative regulation of cell population p...	5	HELPU_017846	-1.57648587647185	0.0113	-9.1143570530433
BP	GO:0008285	negative regulation of cell population p...	5	HELPU_018035	-2.38485676873224	0.0113	-9.1143570530433
BP	GO:0060776	simple leaf morphogenesis	2	HELPU_021968	-2.15587951541468	0.01183	1.22454423432993
BP	GO:0060776	simple leaf morphogenesis	2	HELPU_023562	3.88764657932984	0.01183	1.22454423432993
BP	GO:0106146	sideretin biosynthesis	2	HELPU_002265	-1.43734942824451	0.01183	-2.62994108348751
BP	GO:0106146	sideretin biosynthesis	2	HELPU_004902	-2.28194892026572	0.01183	-2.62994108348751
BP	GO:1901045	negative regulation of egg-laying behavi...	2	HELPU_002265	-1.43734942824451	0.01183	-2.62994108348751
BP	GO:1901045	negative regulation of egg-laying behavi...	2	HELPU_004902	-2.28194892026572	0.01183	-2.62994108348751
BP	GO:0050829	defense response to Gram-negative bacter...	4	HELPU_002935	-3.30557746343864	0.01337	-0.859777938634831
BP	GO:0050829	defense response to Gram-negative bacter...	4	HELPU_002936	-6.2560082670718	0.01337	-0.859777938634831
BP	GO:0050829	defense response to Gram-negative bacter...	4	HELPU_008272	7.17459280535687	0.01337	-0.859777938634831
BP	GO:0050829	defense response to Gram-negative bacter...	4	HELPU_010710	0.667437047883907	0.01337	-0.859777938634831
BP	GO:0009911	positive regulation of flower developmen...	6	HELPU_000263	4.05683860618475	0.01431	1.32983792660351
BP	GO:0009911	positive regulation of flower developmen...	6	HELPU_004102	2.32532922907501	0.01431	1.32983792660351
BP	GO:0009911	positive regulation of flower developmen...	6	HELPU_006426	0.652323486192288	0.01431	1.32983792660351
BP	GO:0009911	positive regulation of flower developmen...	6	HELPU_006610	-1.09260881935158	0.01431	1.32983792660351
BP	GO:0009911	positive regulation of flower developmen...	6	HELPU_013186	1.39747146491803	0.01431	1.32983792660351
BP	GO:0009911	positive regulation of flower developmen...	6	HELPU_019746	-4.08192960623915	0.01431	1.32983792660351
BP	GO:0071281	cellular response to iron ion	2	HELPU_002265	-1.43734942824451	0.015	-2.62994108348751
BP	GO:0071281	cellular response to iron ion	2	HELPU_004902	-2.28194892026572	0.015	-2.62994108348751
BP	GO:0051762	sesquiterpene biosynthetic process	2	HELPU_019858	-4.25340942691666	0.015	-5.14202147411678
BP	GO:0051762	sesquiterpene biosynthetic process	2	HELPU_019892	-3.01850707979298	0.015	-5.14202147411678
BP	GO:1900367	positive regulation of defense response ...	3	HELPU_002775	0.621323734948752	0.01593	7.08024104038679
BP	GO:1900367	positive regulation of defense response ...	3	HELPU_014965	8.41484236890196	0.01593	7.08024104038679
BP	GO:1900367	positive regulation of defense response ...	3	HELPU_021413	3.22717110793354	0.01593	7.08024104038679
BP	GO:0010205	photoinhibition	3	HELPU_001772	-0.760441974296718	0.01773	0.413662834545741
BP	GO:0010205	photoinhibition	3	HELPU_015500	6.81813078115476	0.01773	0.413662834545741
BP	GO:0010205	photoinhibition	3	HELPU_015886	-5.34120376022186	0.01773	0.413662834545741
BP	GO:0010187	negative regulation of seed germination	4	HELPU_002944	-3.78085765847714	0.01808	-5.4367324973431
BP	GO:0010187	negative regulation of seed germination	4	HELPU_009589	-7.54661022419469	0.01808	-5.4367324973431
BP	GO:0010187	negative regulation of seed germination	4	HELPU_017350	-5.09151141393355	0.01808	-5.4367324973431
BP	GO:0010187	negative regulation of seed germination	4	HELPU_021029	5.54551430191918	0.01808	-5.4367324973431
BP	GO:1904821	chloroplast disassembly	2	HELPU_021822	-2.07585262484376	0.01848	3.34883628606938
BP	GO:1904821	chloroplast disassembly	2	HELPU_021929	6.81182231877022	0.01848	3.34883628606938
BP	GO:2000122	negative regulation of stomatal complex ...	2	HELPU_008882	-2.72057180630606	0.01848	-5.49572709303704
BP	GO:2000122	negative regulation of stomatal complex ...	2	HELPU_019227	-5.05155998376819	0.01848	-5.49572709303704
BP	GO:0010106	cellular response to iron ion starvation	2	HELPU_017191	-7.6329416835211	0.01848	-7.45747136467248
BP	GO:0010106	cellular response to iron ion starvation	2	HELPU_019622	-2.91351546140772	0.01848	-7.45747136467248
BP	GO:0071456	cellular response to hypoxia	6	HELPU_002265	-1.43734942824451	0.01911	-3.07415259327778
BP	GO:0071456	cellular response to hypoxia	6	HELPU_004902	-2.28194892026572	0.01911	-3.07415259327778
BP	GO:0071456	cellular response to hypoxia	6	HELPU_005674	-7.75488549846816	0.01911	-3.07415259327778
BP	GO:0071456	cellular response to hypoxia	6	HELPU_006208	-2.39468357569692	0.01911	-3.07415259327778
BP	GO:0071456	cellular response to hypoxia	6	HELPU_019680	3.13938789199079	0.01911	-3.07415259327778
BP	GO:0071456	cellular response to hypoxia	6	HELPU_022596	3.19937428570028	0.01911	-3.07415259327778
BP	GO:0048564	photosystem I assembly	3	HELPU_001772	-0.760441974296718	0.01964	0.413662834545741
BP	GO:0048564	photosystem I assembly	3	HELPU_015500	6.81813078115476	0.01964	0.413662834545741
BP	GO:0048564	photosystem I assembly	3	HELPU_015886	-5.34120376022186	0.01964	0.413662834545741
BP	GO:0010421	hydrogen peroxide-mediated programmed ce...	1	HELPU_022233	0.889523243202084	0.02149	0.889523243202084
BP	GO:0006182	cGMP biosynthetic process	1	HELPU_018222	-0.641779918194754	0.02149	-0.641779918194754
BP	GO:0000454	snoRNA guided rRNA pseudouridine synthes...	1	HELPU_015885	-1.41425844911752	0.02149	-1.41425844911752
BP	GO:0033396	beta-alanine biosynthetic process via 3-...	1	HELPU_017927	0.920197060212358	0.02149	0.920197060212358
BP	GO:2000104	negative regulation of DNA-templated DNA...	3	HELPU_002944	-3.78085765847714	0.02165	-9.47950211671401
BP	GO:2000104	negative regulation of DNA-templated DNA...	3	HELPU_009589	-7.54661022419469	0.02165	-9.47950211671401
BP	GO:2000104	negative regulation of DNA-templated DNA...	3	HELPU_017350	-5.09151141393355	0.02165	-9.47950211671401
BP	GO:0016049	cell growth	17	HELPU_000532	-0.921545635646218	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_003157	-1.30665694518093	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_003575	-1.50795096831903	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_004946	0.756221895364741	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_008223	-3.39559587938782	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_008788	1.36165013829441	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_010917	1.50271483111055	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_011607	-2.32289510161455	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_013165	3.05521026664143	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_014194	-1.12421363776477	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_014989	0.890657306097323	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_014990	0.91952931691596	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_016237	10.5701542033097	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_016394	11.5677375673706	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_017439	1.9901236550255	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_019746	-4.08192960623915	0.02189	4.81622067570425
BP	GO:0016049	cell growth	17	HELPU_020123	1.90457515623453	0.02189	4.81622067570425
BP	GO:0010206	photosystem II repair	3	HELPU_001772	-0.760441974296718	0.02835	0.413662834545741
BP	GO:0010206	photosystem II repair	3	HELPU_015500	6.81813078115476	0.02835	0.413662834545741
BP	GO:0010206	photosystem II repair	3	HELPU_015886	-5.34120376022186	0.02835	0.413662834545741
BP	GO:0007264	small GTPase mediated signal transductio...	3	HELPU_006002	-1.25799708684559	0.02835	3.50932433341411
BP	GO:0007264	small GTPase mediated signal transductio...	3	HELPU_008362	5.97467499426221	0.02835	3.50932433341411
BP	GO:0007264	small GTPase mediated signal transductio...	3	HELPU_008788	1.36165013829441	0.02835	3.50932433341411
BP	GO:0016126	sterol biosynthetic process	4	HELPU_006292	-1.30404898831941	0.02855	-0.4537869233644
BP	GO:0016126	sterol biosynthetic process	4	HELPU_017295	6.62934937328271	0.02855	-0.4537869233644
BP	GO:0016126	sterol biosynthetic process	4	HELPU_017527	-3.34371834898101	0.02855	-0.4537869233644
BP	GO:0016126	sterol biosynthetic process	4	HELPU_019900	-2.88915588271109	0.02855	-0.4537869233644
BP	GO:0010027	thylakoid membrane organization	5	HELPU_001772	-0.760441974296718	0.02885	-2.53678207364455
BP	GO:0010027	thylakoid membrane organization	5	HELPU_014457	-2.00342378395826	0.02885	-2.53678207364455
BP	GO:0010027	thylakoid membrane organization	5	HELPU_015500	6.81813078115476	0.02885	-2.53678207364455
BP	GO:0010027	thylakoid membrane organization	5	HELPU_015886	-5.34120376022186	0.02885	-2.53678207364455
BP	GO:0010027	thylakoid membrane organization	5	HELPU_018600	-4.38547842345002	0.02885	-2.53678207364455
BP	GO:0033214	siderophore-dependent iron import into c...	2	HELPU_000179	-1.73941557749888	0.03071	-6.31060304029265
BP	GO:0033214	siderophore-dependent iron import into c...	2	HELPU_011369	-7.18512482883588	0.03071	-6.31060304029265
BP	GO:0072593	reactive oxygen species metabolic proces...	11	HELPU_000044	0.771292709327129	0.03501	-0.599008051815162
BP	GO:0072593	reactive oxygen species metabolic proces...	11	HELPU_001772	-0.760441974296718	0.03501	-0.599008051815162
BP	GO:0072593	reactive oxygen species metabolic proces...	11	HELPU_003851	1.08667142209974	0.03501	-0.599008051815162
BP	GO:0072593	reactive oxygen species metabolic proces...	11	HELPU_007398	-1.87086081551102	0.03501	-0.599008051815162
BP	GO:0072593	reactive oxygen species metabolic proces...	11	HELPU_010160	4.02055958968128	0.03501	-0.599008051815162
BP	GO:0072593	reactive oxygen species metabolic proces...	11	HELPU_011295	-1.83374564790282	0.03501	-0.599008051815162
BP	GO:0072593	reactive oxygen species metabolic proces...	11	HELPU_014194	-1.12421363776477	0.03501	-0.599008051815162
BP	GO:0072593	reactive oxygen species metabolic proces...	11	HELPU_015500	6.81813078115476	0.03501	-0.599008051815162
BP	GO:0072593	reactive oxygen species metabolic proces...	11	HELPU_015886	-5.34120376022186	0.03501	-0.599008051815162
BP	GO:0072593	reactive oxygen species metabolic proces...	11	HELPU_017141	-1.30160693896412	0.03501	-0.599008051815162
BP	GO:0072593	reactive oxygen species metabolic proces...	11	HELPU_017753	-2.45126668187426	0.03501	-0.599008051815162
BP	GO:0009854	oxidative photosynthetic carbon pathway	2	HELPU_003851	1.08667142209974	0.03533	0.178356009789561
BP	GO:0009854	oxidative photosynthetic carbon pathway	2	HELPU_010266	-0.834437934124594	0.03533	0.178356009789561
BP	GO:0019432	triglyceride biosynthetic process	3	HELPU_000044	0.771292709327129	0.03601	4.71065239477631
BP	GO:0019432	triglyceride biosynthetic process	3	HELPU_000470	1.84228227330226	0.03601	4.71065239477631
BP	GO:0019432	triglyceride biosynthetic process	3	HELPU_021029	5.54551430191918	0.03601	4.71065239477631
BP	GO:0019222	regulation of metabolic process	61	HELPU_000044	0.771292709327129	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_000248	-3.61848394297345	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_000263	4.05683860618475	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_000274	-1.15702915290884	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_000606	-3.30730407601743	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_001625	-4.7814125423211	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_001772	-0.760441974296718	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_001984	-1.72585806368579	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_002207	-1.14522750389757	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_002775	0.621323734948752	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_002803	-2.47444132551434	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_002944	-3.78085765847714	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_003360	2.63175589111971	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_003575	-1.50795096831903	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_003937	0.685196369065608	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_004900	-1.51098916747929	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_005456	-3.58268058497123	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_005583	-0.862169643340046	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_005613	7.55273274289074	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_005637	-3.00393996188867	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_005678	1.53389690047017	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_005926	-2.99307245991237	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_006426	0.652323486192288	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_006610	-1.09260881935158	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_006639	1.54109941702203	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_007398	-1.87086081551102	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_008020	-3.28381739885834	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_008362	5.97467499426221	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_008408	-1.88592948237929	0.03752	1.783685825516
BP	GO:0019222	regulation of metabolic process	61	HELPU_009310	2.58475180772391	0.03752	1.783685825516
